"Province/State","Country","Date last updated","Confirmed","Suspected"
"Shanghai","China","1/21/2020","9","10"
"Yunnan","China","1/21/2020","1",""
"Beijing","China","1/21/2020","10",""
"Taiwan","China","1/21/2020","1",""
"Jilin","China","1/21/2020","","1"
"Sichuan","China","1/21/2020","2","1"
"Tianjin","China","1/21/2020","2",""
"Ningxia","China","1/21/2020","","1"
"Anhui","China","1/21/2020","","3"
"Shandong","China","1/21/2020","1",""
"Guangdong","China","1/21/2020","17","4"
"Guangxi","China","1/21/2020","","1"
"Jiangxi","China","1/21/2020","2",""
"Henan","China","1/21/2020","1",""
"Zhejiang","China","1/21/2020","5","16"
"Hainan","China","1/21/2020","","1"
"Hubei","China","1/21/2020","270","11"
"Hunan","China","1/21/2020","1",""
"Guizhou","China","1/21/2020","","1"
"Liaoning","China","1/21/2020","","1"
"Chongqing","China","1/21/2020","5",""
"Hong Kong","China","1/21/2020","","117"
"Heilongjiang","China","1/21/2020","","1"
"","Japan","1/21/2020","1",""
"","Thailand","1/21/2020","2",""
"","South Korea","1/21/2020","1",""
"Washington","United States","1/21/2020","1",""