"Province/State","Country","Last Update","Confirmed","Suspected"
"Anhui","China","1/22/2020 12:00","1","4"
"Beijing","China","1/22/2020 12:00","14",""
"Chongqing","China","1/22/2020 12:00","6",""
"Fujian","China","1/22/2020 12:00","1",""
"Gansu","China","1/22/2020 12:00","",""
"Guangdong","China","1/22/2020 12:00","26","1"
"Guangxi","China","1/22/2020 12:00","2","1"
"Guizhou","China","1/22/2020 12:00","1",""
"Hainan","China","1/22/2020 12:00","4",""
"Hebei","China","1/22/2020 12:00","1",""
"Heilongjiang","China","1/22/2020 12:00","","1"
"Henan","China","1/22/2020 12:00","5",""
"Hong Kong","China","1/22/2020 12:00","","117"
"Hubei","China","1/22/2020 12:00","444",""
"Hunan","China","1/22/2020 12:00","4",""
"Inner Mongolia","China","1/22/2020 12:00","",""
"Jiangsu","China","1/22/2020 12:00","1",""
"Jiangxi","China","1/22/2020 12:00","2",""
"Jilin","China","1/22/2020 12:00","","1"
"Liaoning","China","1/22/2020 12:00","2",""
"Macau","China","1/22/2020 12:00","1",""
"Ningxia","China","1/22/2020 12:00","1",""
"Qinghai","China","1/22/2020 12:00","",""
"Shaanxi","China","1/22/2020 12:00","",""
"Shandong","China","1/22/2020 12:00","2",""
"Shanghai","China","1/22/2020 12:00","9","10"
"Shanxi","China","1/22/2020 12:00","1",""
"Sichuan","China","1/22/2020 12:00","5","2"
"Taiwan","China","1/22/2020 12:00","1",""
"Tianjin","China","1/22/2020 12:00","4",""
"Tibet","China","1/22/2020 12:00","",""
"Washington","US","1/22/2020 12:00","1",""
"Xinjiang","China","1/22/2020 12:00","",""
"Yunnan","China","1/22/2020 12:00","1",""
"Zhejiang","China","1/22/2020 12:00","10",""
"","Japan","1/22/2020 12:00","2",""
"","Thailand","1/22/2020 12:00","2",""
"","South Korea","1/22/2020 12:00","1",""